Degree,Part No.,Strip No. on part,Set No.,Laser Power (W),Scanning Speed (mm/s),Hatch Space (mm),W_mean (µm),D_mean (µm),Energy Density E=P/(v*h*t) (J/mm3),OT_Max (0-255),OT_Int (0-255),MPM_on (0-255),MPM_off (0-255),opt_on (0-255),opt_off (0-255),Calib_on,Calib_off
65,2,4,64,296,1235,0.143,107.4856455,122.7735646,55.86855789,8.473833902,13.71374866,144.6104208,146.8368737,173.8060907,140.7963882,6.737016962,8.444552839
65,2,3,65,296,1365,0.117,103.2870155,120.8713353,61.7805746,9.239612977,13.17698154,143.1143174,145.1557529,175.5656428,152.415672,5.971877647,6.977052263
65,2,2,66,296,1365,0.143,97.32135745,117.3837537,50.54774286,7.962677725,10.94146079,137.2630009,142.4032396,174.8034926,162.0419453,5.752686831,6.438130415
65,2,1,67,296,1495,0.117,93.71427518,112.6569311,56.40835072,7.354452055,10.46206897,133.3703125,141.5433594,174.3358928,170.8317751,5.117185564,5.542167569
45,3,5,68,296,1495,0.143,98.29866667,95.23266667,46.15228695,7.005275498,9.49070632,134.0004095,139.6117936,180.2840618,128.6400984,4.971730725,7.259463908
75,1,5,69,296,1625,0.117,90.08754958,101.9636019,51.89568266,6.534636872,9.145125958,130.9357414,163.7711027,175.1185923,141.1224275,4.601215657,7.141474168
45,3,4,70,296,1625,0.143,105.7915833,112.3194167,42.460104,6.164519906,8.661161428,128.0490946,134.9163232,180.7300722,136.5413855,4.360062599,6.080605476
75,1,4,71,296,1755,0.117,91.70753656,117.1886567,48.05155802,6.046291132,9.026167265,128.1355298,169.4373576,177.2998132,152.5168302,4.117979403,6.330154041
45,3,3,72,296,1755,0.143,97.75390476,115.4285714,39.31491111,5.68933177,8.328478964,128.3308239,134.6386449,179.08566,142.2823767,4.08312852,5.391895914
75,1,3,73,333,715,0.117,154.1944941,234.2549287,132.687825,16.92109681,26.82946573,161.1965505,130.160618,177.8795019,163.2353112,12.67429459,11.15217174
45,3,2,74,333,715,0.143,193.7261905,262.6666667,108.5627659,15.46090047,20.7862395,158.5140981,116.165701,180.0335772,151.7359727,12.31426064,10.70738264
75,1,2,75,333,845,0.117,139.4426026,215.0020721,112.2743135,16.5726257,25.64960422,167.8232104,138.4826464,177.9556268,174.4914604,11.16049844,9.392138062
45,3,1,76,333,845,0.143,178.813619,240.5119429,91.86080192,13.43141852,16.3810549,160.1976096,116.3474104,178.3221759,158.0232239,10.63148591,8.713228329
75,1,1,77,333,975,0.117,128.8420224,184.0033154,97.304405,14.18126046,20.60491191,168.0855973,144.3788612,178.5246481,184.461793,9.656676891,8.02772655
55,2,5,78,333,975,0.143,111.2665224,145.7805709,79.612695,14.05797933,18.50192202,176.4623077,143.0457692,188.0300059,135.7620286,9.625430868,10.80667481
55,2,4,79,333,1105,0.117,84.21788267,115.3137163,85.85682794,13.67038483,20.10613333,178.0079884,152.6819172,188.0487658,144.6632542,8.566565248,9.55140139
55,2,3,80,333,1105,0.143,95.14653528,125.0402886,70.24649559,11.89839265,16.34127844,173.7318928,143.8587435,186.407693,153.8374837,8.4343854,8.462755956
55,2,2,81,333,1235,0.117,80.31512197,107.9667781,76.8192671,11.76631344,16.08707558,169.7939931,147.9922988,185.1922507,163.3438357,7.423907541,7.336170378
55,2,1,82,333,1235,0.143,83.96539326,114.5533282,62.85212763,9.795023697,11.84478096,163.1005133,143.1749358,183.6984481,171.0783032,7.189238359,6.776494737
65,1,5,83,333,1365,0.117,108.8004886,132.0913617,69.50314643,9.644138756,13.83789704,161.4965517,172.5235641,178.683218,137.0989186,6.621354451,9.21895597
65,1,4,84,333,1365,0.143,103.2755474,118.3913969,56.86621071,8.449634215,11.90427258,155.1896,167.1601784,179.8456187,147.4485352,6.321644945,8.305383911
65,1,3,85,333,1495,0.117,123.1294353,129.1680826,63.45939456,8.627539503,12.40032503,152.9357664,167.9534712,179.064031,158.4237279,5.712938046,7.091327826
65,1,2,86,333,1495,0.143,110.2122272,111.9717641,51.92132282,7.604066986,10.60843373,148.2102459,162.0240664,178.744323,167.9372258,5.546318146,6.453441246
65,1,1,87,333,1625,0.117,93.36998168,96.21922372,58.382643,7.955917874,9.635427952,146.1677568,163.6061442,178.189073,177.3669186,5.047974453,5.676408257
45,2,5,88,333,1625,0.143,91.50653,116.2807,47.767617,7.101626016,9.607740586,152.9126887,160.2811098,190.3672983,134.4923522,4.943081976,7.333839245
45,2,4,89,333,1755,0.117,89.64512,94.55328,54.05800278,6.799662352,10.74476987,154.3407988,158.5360825,191.2244703,144.7629397,4.598965549,6.240129575
