File,Mean_Z,Std_Z
00-01.csv,1953.1562974203339,265.7825135065871
00-02.csv,2123.5497835497836,316.016364963336
00-03.csv,2211.2096153846155,361.0319242343401
00-04.csv,2184.5271504084576,318.8044649666835
00-05.csv,2347.751923076923,397.83589544898996
01-01.csv,2661.8805668016194,389.61967162002856
01-02.csv,3186.2101265822785,497.68837869542836
01-03.csv,3511.8264815803523,567.1055194545256
01-04.csv,4106.6844636844635,661.0286938364759
01-05.csv,3990.8199786324785,712.3507693291007
02-01.csv,2792.117130307467,468.91864564626667
02-02.csv,2801.5953193564114,379.5954252693227
02-03.csv,3380.448537378115,379.78440083434276
02-04.csv,3129.0278184480235,426.5632116605487
02-05.csv,3692.72210184182,398.23475151059085
03-01.csv,5818.632768361582,1044.8430052729066
03-02.csv,6796.392710472279,1176.6829023070147
03-03.csv,7075.570498915401,1156.2071296529914
03-04.csv,2429.456627680312,310.8735565809805
03-05.csv,2443.43017578125,375.7930341315238
04-01.csv,4038.8174719375306,908.9545585554872
04-02.csv,5265.696585365854,1103.8673396744057
04-03.csv,6230.675609756097,1317.6392030593925
04-04.csv,6863.288639687957,1448.7844531773674
04-05.csv,6861.734840698869,1350.519368661543
05-01.csv,5734.535258189894,825.2031090084915
05-02.csv,6231.995238095238,1078.9610842917796
05-03.csv,5911.119059529765,1310.8773845593894
05-04.csv,2931.086887835703,342.26524006099135
05-05.csv,2561.6623311655826,337.88589555526534
06-01.csv,3336.185263157895,564.5556137018563
06-02.csv,4320.093281510272,534.7802239802745
06-03.csv,4362.839915745129,601.5988284016512
06-04.csv,5287.7849631966355,780.522550872011
06-05.csv,4980.238546603476,744.0618986547482
07-01.csv,2881.3235139400317,394.1813021540416
07-02.csv,2913.19940029985,451.7662467688797
07-03.csv,3527.205789473684,440.34077266325966
07-04.csv,3604.4295,537.1558193083813
07-05.csv,3962.7883333333334,491.45785462906053
08-01.csv,2281.357218124341,334.0384431473759
08-02.csv,2623.358141858142,434.43308926878257
08-03.csv,3134.143071535768,553.2487656899995
08-04.csv,3962.078905839032,637.9050185709156
08-05.csv,4301.713,881.0621611991678
09-01.csv,3084.424,471.88201018874423
09-02.csv,3499.27,566.3682049442618
09-03.csv,3851.1000500250125,714.6519960585487
09-04.csv,4197.898389783453,652.6504153600362
09-05.csv,4392.274881516588,721.1956018723963
10-01.csv,5553.256833419288,715.1919218546506
10-02.csv,5857.021798365123,717.394798722779
10-03.csv,2236.865620402158,277.94343857007334
10-04.csv,2367.2966226138033,254.25991799624913
10-05.csv,2548.4656685596283,351.4574098427101
11-01.csv,4901.317884405671,698.6930959835004
11-02.csv,5897.6895306859205,975.2465796787844
11-03.csv,6387.866013071895,830.3495790657169
11-04.csv,2075.7006369426754,200.93785510037472
11-05.csv,2244.4382352941175,328.959402485166
12-01.csv,3737.750257997936,637.6374748769966
12-02.csv,2807.2947523295734,371.1354972749342
12-03.csv,3107.0072164948456,398.0666984179411
12-04.csv,2924.7939156035327,406.13726422301073
12-05.csv,3419.56917211329,420.89646653255136
13-01.csv,5462.00417101147,853.0492240164147
13-02.csv,5831.682291666667,1095.7095526467253
13-03.csv,3402.79614181439,423.0004194713674
13-04.csv,6445.037519541428,1166.5577875031522
13-05.csv,7006.052137643379,1424.8691389064288
14-01.csv,2218.272412085191,411.24658455349396
14-02.csv,2358.8320950965826,359.96110906563376
14-03.csv,2585.32838038633,488.43982584415244
14-04.csv,2561.655729166667,407.4665646036754
14-05.csv,2947.1402502606884,538.6270792991614
15-01.csv,2762.3466019417474,430.29849953423616
15-02.csv,3581.177669902913,581.5994438197057
15-03.csv,4117.163599182004,657.9740056776167
15-04.csv,4293.782735208535,846.8230931684743
15-05.csv,3800.6022494887525,472.58872023261455
16-01.csv,3144.5744245524297,551.581402851808
16-02.csv,3703.9586312563843,667.927380801299
16-03.csv,4334.826484018265,563.094521276972
16-04.csv,4874.045846817691,605.1467382373097
16-05.csv,5181.529665587918,765.1435166792169
17-01.csv,1582.7123147675013,260.8088694367944
17-02.csv,1875.0276967930029,266.3064031349002
17-03.csv,1779.6496424923391,216.85960133514146
17-04.csv,2082.413508260447,314.3942784561224
17-05.csv,1928.8511326860842,253.16284326335443
18-01.csv,3323.06604747162,596.0144844218481
18-02.csv,4651.6013408973695,914.9960611769345
18-03.csv,5861.988241058305,1268.6897629316406
18-04.csv,6858.709710743801,1613.364918464833
18-05.csv,1994.7999067164178,456.18542903620556
19-01.csv,1418.2476520019773,272.7902649436835
19-02.csv,1609.1650294695482,270.99885721954416
19-03.csv,1666.5839057899902,262.0535918538239
19-04.csv,1879.295987493486,304.6748278395053
19-05.csv,1828.0672225117248,259.108232775659
20-01.csv,7528.96644295302,1221.8348058466433
20-02.csv,8387.429691327781,1486.5972967242317
20-03.csv,6917.355640535373,1180.6660481550712
20-04.csv,5252.79950829748,3181.724512750623
20-05.csv,7299.2085759661195,1498.8308101899688
21-01.csv,5028.166666666667,694.2293419835313
21-02.csv,6199.391474767271,863.7363290855526
21-03.csv,6735.2589504659145,1000.3087161533883
21-04.csv,6458.689063266307,1326.2379760879696
21-05.csv,1907.830665978317,435.4257039096654
